species	treatment	depth	time	settlement	condition	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	control	deep	3	0	control-deep	
cx	mangrove	deep	3	0	mangrove-deep	
cx	mangrove	deep	3	0	mangrove-deep	
cx	mangrove	deep	3	8	mangrove-deep	
cx	mangrove	deep	3	8	mangrove-deep	
cx	mangrove	deep	3	6	mangrove-deep	
cx	mangrove	deep	3	3	mangrove-deep	
cx	mangrove	deep	3	4	mangrove-deep	
cx	mangrove	deep	3	0	mangrove-deep	
cx	mangrove	deep	3	12	mangrove-deep	
cx	mangrove	deep	3	12	mangrove-deep	
cx	mangrove	deep	3	9	mangrove-deep	
cx	mangrove	deep	3	8	mangrove-deep	
cx	mangrove	deep	3	14	mangrove-deep	
cx	mangrove	deep	3	4	mangrove-deep	
cx	mangrove	deep	3	22	mangrove-deep	
cx	mangrove	deep	3	16	mangrove-deep	
cx	mangrove	deep	3	15	mangrove-deep	
cx	mangrove	deep	3	12	mangrove-deep	
cx	turtle	deep	3	36	turtle-deep	
cx	turtle	deep	3	24	turtle-deep	
cx	turtle	deep	3	20	turtle-deep	
cx	turtle	deep	3	40	turtle-deep	
cx	turtle	deep	3	23	turtle-deep	
cx	turtle	deep	3	32	turtle-deep	
cx	turtle	deep	3	36	turtle-deep	
cx	turtle	deep	3	24	turtle-deep	
cx	turtle	deep	3	20	turtle-deep	
cx	turtle	deep	3	40	turtle-deep	
cx	turtle	deep	3	26	turtle-deep	
cx	turtle	deep	3	36	turtle-deep	
cx	turtle	deep	3	52	turtle-deep	
cx	turtle	deep	3	44	turtle-deep	
cx	turtle	deep	3	30	turtle-deep	
cx	turtle	deep	3	60	turtle-deep	
cx	turtle	deep	3	36	turtle-deep	
cx	turtle	deep	3	48	turtle-deep	
cx	shoal	deep	3	54	shoal-deep	
cx	shoal	deep	3	12	shoal-deep	
cx	shoal	deep	3	32	shoal-deep	
cx	shoal	deep	3	20	shoal-deep	
cx	shoal	deep	3	6	shoal-deep	
cx	shoal	deep	3	32	shoal-deep	
cx	shoal	deep	3	60	shoal-deep	
cx	shoal	deep	3	32	shoal-deep	
cx	shoal	deep	3	44	shoal-deep	
cx	shoal	deep	3	38	shoal-deep	
cx	shoal	deep	3	32	shoal-deep	
cx	shoal	deep	3	40	shoal-deep	
cx	shoal	deep	3	60	shoal-deep	
cx	shoal	deep	3	32	shoal-deep	
cx	shoal	deep	3	44	shoal-deep	
cx	shoal	deep	3	38	shoal-deep	
cx	shoal	deep	3	48	shoal-deep	
cx	shoal	deep	3	40	shoal-deep	
cx	shell	deep	3	24	shell-deep	
cx	shell	deep	3	61	shell-deep	
cx	shell	deep	3	44	shell-deep	
cx	shell	deep	3	72	shell-deep	
cx	shell	deep	3	48	shell-deep	
cx	shell	deep	3	42	shell-deep	
cx	shell	deep	3	40	shell-deep	
cx	shell	deep	3	66	shell-deep	
cx	shell	deep	3	52	shell-deep	
cx	shell	deep	3	72	shell-deep	
cx	shell	deep	3	48	shell-deep	
cx	shell	deep	3	56	shell-deep	
cx	shell	deep	3	40	shell-deep	
cx	shell	deep	3	66	shell-deep	
cx	shell	deep	3	52	shell-deep	
cx	shell	deep	3	72	shell-deep	
cx	shell	deep	3	48	shell-deep	
cx	shell	deep	3	56	shell-deep	
cx	sand	deep	3	0	sand-deep	14
cx	sand	deep	3	8	sand-deep	
cx	sand	deep	3	0	sand-deep	
cx	sand	deep	3	6	sand-deep	
cx	sand	deep	3	8	sand-deep	
cx	sand	deep	3	0	sand-deep	
cx	sand	deep	3	12	sand-deep	
cx	sand	deep	3	8	sand-deep	
cx	sand	deep	3	18	sand-deep	
cx	sand	deep	3	24	sand-deep	
cx	sand	deep	3	16	sand-deep	
cx	sand	deep	3	12	sand-deep	
cx	sand	deep	3	24	sand-deep	
cx	sand	deep	3	16	sand-deep	
cx	sand	deep	3	22	sand-deep	
cx	sand	deep	3	30	sand-deep	
cx	sand	deep	3	24	sand-deep	
cx	sand	deep	3	24	sand-deep	
cx	control	shallow	3	0	control-shallow	
cx	control	shallow	3	0	control-shallow	
cx	control	shallow	3	0	control-shallow	
cx	control	shallow	3	0	control-shallow	
cx	control	shallow	3	0	control-shallow	
