id	location	location.alt	depth	degradation	coordinates
#q2:types	categorical	categorical	categorical	categorical
MB_B_C_1	Cut	deep	deep	Black	25.128433N,80.443574W
MB_B_C_2	Cut	deep	deep	Black	25.128433N,80.443574W
MB_B_C_3	Cut	deep	deep	Black	25.128433N,80.443574W
MB_B_D_1	Dock	site 2	shallow	Black	25.10140942N,80.43864199W
MB_B_D_2	Dock	site 2	shallow	Black	25.10140942N,80.43864199W
MB_B_D_3	Dock	site 2	shallow	Black	25.10140942N,80.43864199W
MB_MI_1	MangroveIsland	site 3	shallow	Black	25.10050908N,80.43914361W
MB_MI_2	MangroveIsland	site 3	shallow	Black	25.10050908N,80.43914361W
MB_MI_4	MangroveIsland	site 3	shallow	Black	25.10050908N,80.43914361W
MB_MI_5	MangroveIsland	site 3	shallow	Black	25.10050908N,80.43914361W
MB_NB_1	NorthBay	site 1	sahllow	Black	25.10294208N,80.43759313W
MB_NB_2	NorthBay	site 1	shallow	Black	25.10294208N,80.43759313W
MB_NB_4	NorthBay	site 1	shallow	Black	25.10294208N,80.43759313W
MI_R_1	MangroveIsland	site 3	shallow	Red	25.10050908N,80.43914361W
MI_R_2	MangroveIsland	site 3	shallow	Red	25.10050908N,80.43914361W
MI_R_3	MangroveIsland	site 3	shallow	Red	25.10050908N,80.43914361W
